Pipeline,System,Throughput
CV-torch,torch,165.1435348
CV-torch,ember-local,338.9533219
CV-torch,ray-local,182.7110468
CV-torch,ember-remote,851.9118309
CV-torch,ray-remote,613.7542131
CV-tf,tf,434.7167386
CV-tf,ember-local,438.4405241
CV-tf,ray-local,157.9693704
CV-tf,plumber,338.0819766
CV-tf,ember-remote,965.1411681
CV-tf,ray-remote,548.0062504
CV-tf,tfdata-service,947.6581265
CV-tf,fastflow,772.5337355
NLP-torch,torch,1563.607555
NLP-torch,ember-local,2960.273135
NLP-torch,ray-local,1412.855098
NLP-torch,ember-remote,4764.476066
NLP-torch,ray-remote,1465.342987
NLP-hf-tf,tf,634.4627475
NLP-hf-tf,ember-local,1205.012853
NLP-hf-tf,ray-local,1413.387607
NLP-hf-tf,ember-remote,2408.033199
NLP-hf-tf,ray-remote,798.9287172
NLP-tf,tf,6230.335504
NLP-tf,ember-local,5695.571693
NLP-tf,ray-local,1257.46357
NLP-tf,ember-remote,5563.385506
NLP-tf,ray-remote,2053.085996
NLP-tf,tfdata-service,2045.847441
NLP-tf,fastflow,1610.742536
ASR,torch,24.65157059
ASR,tf,17.22063537
ASR,ember-local,105.7026584
ASR,ray-local,105.724439
ASR,ember-remote,498.9273063
ASR,ray-remote,505.7816422
SSD-torch,ray-local,21.36905199
SSD-torch,ember-local,58.36089788
SSD-torch,torch,19.92272835
SSD-torch,ember-remote,92.27214569
SSD-torch,ray-remote,56.42511784
SSD-tf,ember-local,162.1409238
SSD-tf,tf,72.19816589
SSD-tf,ray-local,15.21952602
SSD-tf,plumber,86.74691139
SSD-tf,ember-remote,158.623046
SSD-tf,tfdata-service,32.12837509
SSD-tf,ray-remote,31.81599492
SSD-tf,fastflow,56.7238234
